block,label,method,round,n,f1_mean,f1_std,f1_var,f1_sem,ci_low,ci_high,bytes_cum_mean,ref_bytes,comm_norm
heterogeneous,fast25,ASILO,0,8,0.30666862952572627,0.027477530576626805,0.000755014686589461,0.00971477410049676,0.28762767228875263,0.3257095867626999,0.0,15600.0,0.0
heterogeneous,fast25,ASILO,1,8,0.3141852457048765,0.029739947124409496,0.0008844644549626726,0.010514659141899658,0.29357651378675315,0.33479397762299984,8096.0,46800.0,0.172991452991453
heterogeneous,fast25,ASILO,2,8,0.34193633156354564,0.02766064751632019,0.0007651114210221104,0.00977951571540042,0.32276848076136083,0.36110418236573044,21362.875,93600.0,0.22823584401709401
heterogeneous,fast25,ASILO,3,8,0.3436238288572417,0.029719501496761457,0.0008832487692160065,0.010507430520921887,0.3230292650362348,0.36421839267824857,38452.5,156000.0,0.2464903846153846
heterogeneous,fast25,ASILO,4,8,0.35085884634550624,0.03689524937517514,0.0013612594264563614,0.013044440513377534,0.32529174293928625,0.3764259497517262,61831.25,234000.0,0.2642361111111111
heterogeneous,fast25,ASILO,5,8,0.35350855272213555,0.02635076013381269,0.0006943625596297322,0.009316400590019544,0.33524840756569724,0.37176869787857386,89254.75,327600.0,0.27245039682539685
heterogeneous,fast25,ASILO,6,8,0.35896282337146346,0.022516109460700682,0.0005069751852462548,0.007960646842800014,0.34335995555957544,0.3745656911833515,122071.75,436800.0,0.2794682921245421
heterogeneous,fast25,ASILO,7,8,0.3597112496618574,0.020354117958109,0.0004142901178526153,0.007196267416624879,0.34560656552527264,0.3738159337984422,159382.5,561600.0,0.2838007478632479
heterogeneous,fast25,ASILO,8,8,0.3639722812440367,0.024838045037242795,0.0006169284812721015,0.008781575038625627,0.3467603941683305,0.3811841683197429,202532.625,702000.0,0.2885080128205128
heterogeneous,fast25,ASILO,9,8,0.3630108109865568,0.02630383858086734,0.0006918919240883251,0.009299811315883814,0.34478318080742454,0.38123844116568906,249726.625,858000.0,0.2910566724941725
heterogeneous,fast25,ASILO,10,8,0.37097455624318115,0.028175369024011132,0.000793851419639206,0.009961497249655834,0.35145002163385575,0.39049909085250656,302085.0,1029600.0,0.29340034965034967
heterogeneous,fast25,ASILO,11,8,0.3631557414558658,0.022783639660043858,0.0005190942361587234,0.008055233051863888,0.3473674846742126,0.37894399823751906,358262.125,1216800.0,0.29442975427350426
heterogeneous,fast25,ASILO,12,8,0.35779792571696334,0.03027307159768567,0.0009164588639586028,0.010703147107034704,0.33681975738717534,0.37877609404675133,419154.625,1419600.0,0.2952624859115244
heterogeneous,fast25,ASILO,13,8,0.3653348541512471,0.026410774586628476,0.0006975290142657006,0.009337618903297165,0.34703312110078466,0.38363658720170957,484767.25,1638000.0,0.29595070207570207
heterogeneous,fast25,ASILO,14,8,0.36794863116579934,0.0320004001993879,0.0010240256129209853,0.011313849990835265,0.3457734851837622,0.39012377714783647,554870.625,1872000.0,0.29640524839743587
