src,dst,sent_count,received_count,buffered_count,drop_cos_count,buffered_lowcos_count,sent_bytes,received_bytes,buffered_bytes,dropped_bytes,buffered_lowcos_bytes
S10,S11,1,1,1,0,0,1794,1794,1794,0,0
S10,S13,1,1,1,0,0,1798,1798,1798,0,0
S10,S14,16,16,16,0,0,28793,28793,28793,0,0
S10,S15,2,2,2,0,0,3595,3595,3595,0,0
S10,S3,12,12,11,1,0,21621,21621,19823,1798,0
S10,S4,11,11,2,9,0,19801,19801,3599,16202,0
S10,S5,20,20,20,0,0,36002,36002,36002,0,0
S10,S7,35,35,21,14,0,63048,63048,37823,25225,0
S10,S8,13,13,12,1,0,23427,23427,21628,1799,0
S10,S9,11,11,11,0,0,19804,19804,19804,0,0
S11,S10,8,8,8,0,0,14382,14382,14382,0,0
S11,S13,7,7,7,0,0,12594,12594,12594,0,0
S11,S14,9,9,4,5,0,16213,16213,7203,9010,0
S11,S15,8,8,5,3,0,14417,14417,9008,5409,0
S11,S16,3,3,0,3,0,5392,5392,0,5392,0
S11,S2,6,6,6,0,0,10810,10810,10810,0,0
S11,S3,3,3,3,0,0,5397,5397,5397,0,0
S11,S4,3,3,3,0,0,5397,5397,5397,0,0
S11,S6,10,10,7,3,0,17979,17979,12585,5394,0
S11,S7,7,7,7,0,0,12608,12608,12608,0,0
S11,S8,7,7,7,0,0,12606,12606,12606,0,0
S11,S9,10,10,10,0,0,17997,17997,17997,0,0
S13,S10,6,6,2,4,0,10805,10805,3599,7206,0
S13,S14,4,4,0,4,0,7205,7205,0,7205,0
S13,S15,14,14,12,2,0,25206,25206,21608,3598,0
S13,S16,28,28,0,28,0,50417,50417,0,50417,0
S13,S17,1,1,0,1,0,1794,1794,0,1794,0
S13,S2,10,10,0,10,0,17996,17996,0,17996,0
S13,S4,11,11,5,6,0,19818,19818,9022,10796,0
S13,S7,9,9,9,0,0,16198,16198,16198,0,0
S13,S9,8,8,8,0,0,14384,14384,14384,0,0
S15,S10,16,16,13,3,0,28795,28795,23412,5383,0
S15,S11,19,19,19,0,0,34190,34190,34190,0,0
S15,S13,12,12,0,12,0,21604,21604,0,21604,0
S15,S14,25,25,1,24,0,45027,45027,1799,43228,0
S15,S16,20,20,9,11,0,35937,35937,16153,19784,0
S15,S2,4,4,4,0,0,7202,7202,7202,0,0
S15,S5,26,26,14,12,0,46837,46837,25225,21612,0
S15,S6,3,3,0,3,0,5399,5399,0,5399,0
S15,S7,14,14,14,0,0,25192,25192,25192,0,0
S15,S8,2,2,2,0,0,3600,3600,3600,0,0
S15,S9,15,15,0,15,0,26993,26993,0,26993,0
S16,S4,2,2,0,2,0,3591,3591,0,3591,0
S16,S6,1,1,0,1,0,1804,1804,0,1804,0
S17,S13,13,13,0,13,0,23444,23444,0,23444,0
S17,S14,22,22,20,2,0,39617,39617,36021,3596,0
S17,S16,3,3,0,3,0,5408,5408,0,5408,0
S17,S3,36,36,34,2,0,64762,64762,61168,3594,0
S17,S5,21,21,21,0,0,37819,37819,37819,0,0
S17,S6,2,2,2,0,0,3603,3603,3603,0,0
S17,S8,30,30,25,5,0,54021,54021,45009,9012,0
S17,S9,30,30,18,12,0,54083,54083,32449,21634,0
S2,S10,6,6,6,0,0,10805,10805,10805,0,0
S2,S11,1,1,1,0,0,1795,1795,1795,0,0
S2,S13,11,11,10,1,0,19793,19793,17998,1795,0
S2,S15,8,8,8,0,0,14388,14388,14388,0,0
S2,S17,6,6,0,6,0,10808,10808,0,10808,0
S2,S3,12,12,12,0,0,21591,21591,21591,0,0
S2,S4,3,3,3,0,0,5387,5387,5387,0,0
S2,S5,20,20,20,0,0,35968,35968,35968,0,0
S2,S6,17,17,12,5,0,30602,30602,21593,9009,0
S2,S8,14,14,6,8,0,25191,25191,10796,14395,0
S3,S11,10,10,10,0,0,18001,18001,18001,0,0
S3,S14,5,5,5,0,0,8998,8998,8998,0,0
S3,S15,6,6,0,6,0,10814,10814,0,10814,0
S3,S17,13,13,13,0,0,23386,23386,23386,0,0
S3,S2,10,10,10,0,0,17999,17999,17999,0,0
S3,S4,9,9,0,9,0,16198,16198,0,16198,0
S3,S5,12,12,6,6,0,21608,21608,10802,10806,0
S3,S6,7,7,7,0,0,12609,12609,12609,0,0
S3,S8,2,2,2,0,0,3608,3608,3608,0,0
S3,S9,4,4,4,0,0,7205,7205,7205,0,0
S4,S10,17,17,8,9,0,30615,30615,14404,16211,0
S4,S11,22,22,22,0,0,39588,39588,39588,0,0
S4,S14,19,19,19,0,0,34143,34143,34143,0,0
S4,S16,7,7,0,7,0,12607,12607,0,12607,0
S4,S2,5,5,5,0,0,9006,9006,9006,0,0
S4,S3,5,5,0,5,0,8968,8968,0,8968,0
S4,S5,9,9,0,9,0,16186,16186,0,16186,0
S4,S6,1,1,1,0,0,1795,1795,1795,0,0
S4,S8,16,16,16,0,0,28784,28784,28784,0,0
S4,S9,12,12,12,0,0,21619,21619,21619,0,0
S5,S10,1,1,1,0,0,1807,1807,1807,0,0
S5,S11,10,10,10,0,0,18000,18000,18000,0,0
S5,S15,1,1,1,0,0,1800,1800,1800,0,0
S5,S16,39,39,30,9,0,70182,70182,53988,16194,0
S5,S17,6,6,6,0,0,10798,10798,10798,0,0
S5,S2,4,4,4,0,0,7189,7189,7189,0,0
S5,S3,23,23,19,4,0,41398,41398,34206,7192,0
S5,S4,2,2,0,2,0,3596,3596,0,3596,0
S5,S8,1,1,1,0,0,1796,1796,1796,0,0
S5,S9,24,24,11,13,0,43177,43177,19799,23378,0
S7,S10,19,19,19,0,0,34206,34206,34206,0,0
S7,S11,3,3,3,0,0,5396,5396,5396,0,0
S7,S13,7,7,4,3,0,12593,12593,7199,5394,0
S7,S14,24,24,11,13,0,43205,43205,19802,23403,0
S7,S15,9,9,9,0,0,16193,16193,16193,0,0
S7,S17,15,15,0,15,0,26984,26984,0,26984,0
S7,S3,8,8,0,8,0,14381,14381,0,14381,0
