src,dst,sent_count,received_count,buffered_count,drop_cos_count,buffered_lowcos_count,sent_bytes,received_bytes,buffered_bytes,dropped_bytes,buffered_lowcos_bytes
S10,S11,1000,500,0,0,0,1040000,520000,0,0,0
S10,S13,1000,500,0,0,0,1040000,520000,0,0,0
S10,S8,1000,500,0,0,0,1040000,520000,0,0,0
S10,S9,1000,500,0,0,0,1040000,520000,0,0,0
S11,S10,1000,500,0,0,0,1040000,520000,0,0,0
S11,S13,1000,500,0,0,0,1040000,520000,0,0,0
S11,S14,1000,500,0,0,0,1040000,520000,0,0,0
S11,S9,1000,500,0,0,0,1040000,520000,0,0,0
S13,S10,1000,500,0,0,0,1040000,520000,0,0,0
S13,S11,1000,500,0,0,0,1040000,520000,0,0,0
S13,S14,1000,500,0,0,0,1040000,520000,0,0,0
S13,S15,1000,500,0,0,0,1040000,520000,0,0,0
S14,S11,1000,500,0,0,0,1040000,520000,0,0,0
S14,S13,1000,500,0,0,0,1040000,520000,0,0,0
S14,S15,1000,500,0,0,0,1040000,520000,0,0,0
S14,S16,1000,500,0,0,0,1040000,520000,0,0,0
S15,S13,1000,500,0,0,0,1040000,520000,0,0,0
S15,S14,1000,500,0,0,0,1040000,520000,0,0,0
S15,S16,1000,500,0,0,0,1040000,520000,0,0,0
S15,S17,1000,500,0,0,0,1040000,520000,0,0,0
S16,S14,1000,500,0,0,0,1040000,520000,0,0,0
S16,S15,1000,500,0,0,0,1040000,520000,0,0,0
S16,S17,1000,500,0,0,0,1040000,520000,0,0,0
S16,S2,1000,500,0,0,0,1040000,520000,0,0,0
S17,S15,1000,500,0,0,0,1040000,520000,0,0,0
S17,S16,1000,500,0,0,0,1040000,520000,0,0,0
S17,S2,1000,500,0,0,0,1040000,520000,0,0,0
S17,S3,1000,500,0,0,0,1040000,520000,0,0,0
S2,S16,1000,500,0,0,0,1040000,520000,0,0,0
S2,S17,1000,500,0,0,0,1040000,520000,0,0,0
S2,S3,1000,500,0,0,0,1040000,520000,0,0,0
S2,S4,1000,500,0,0,0,1040000,520000,0,0,0
S3,S17,1000,500,0,0,0,1040000,520000,0,0,0
S3,S2,1000,500,0,0,0,1040000,520000,0,0,0
S3,S4,1000,500,0,0,0,1040000,520000,0,0,0
S3,S5,1000,500,0,0,0,1040000,520000,0,0,0
S4,S2,1000,500,0,0,0,1040000,520000,0,0,0
S4,S3,1000,500,0,0,0,1040000,520000,0,0,0
S4,S5,1000,500,0,0,0,1040000,520000,0,0,0
S4,S6,1000,500,0,0,0,1040000,520000,0,0,0
S5,S3,1000,500,0,0,0,1040000,520000,0,0,0
S5,S4,1000,500,0,0,0,1040000,520000,0,0,0
S5,S6,1000,500,0,0,0,1040000,520000,0,0,0
S5,S7,1000,500,0,0,0,1040000,520000,0,0,0
S6,S4,1000,500,0,0,0,1040000,520000,0,0,0
S6,S5,1000,500,0,0,0,1040000,520000,0,0,0
S6,S7,1000,500,0,0,0,1040000,520000,0,0,0
S6,S8,1000,500,0,0,0,1040000,520000,0,0,0
S7,S5,1000,500,0,0,0,1040000,520000,0,0,0
S7,S6,1000,500,0,0,0,1040000,520000,0,0,0
S7,S8,1000,500,0,0,0,1040000,520000,0,0,0
S7,S9,1000,500,0,0,0,1040000,520000,0,0,0
S8,S10,1000,500,0,0,0,1040000,520000,0,0,0
S8,S6,1000,500,0,0,0,1040000,520000,0,0,0
S8,S7,1000,500,0,0,0,1040000,520000,0,0,0
S8,S9,1000,500,0,0,0,1040000,520000,0,0,0
S9,S10,1000,500,0,0,0,1040000,520000,0,0,0
S9,S11,1000,500,0,0,0,1040000,520000,0,0,0
S9,S7,1000,500,0,0,0,1040000,520000,0,0,0
S9,S8,1000,500,0,0,0,1040000,520000,0,0,0
