src,dst,sent_count,received_count,buffered_count,drop_cos_count,buffered_lowcos_count,sent_bytes,received_bytes,buffered_bytes,dropped_bytes,buffered_lowcos_bytes
ORCH,S10,500,500,0,0,0,520000,520000,0,0,0
ORCH,S11,500,500,0,0,0,520000,520000,0,0,0
ORCH,S13,500,500,0,0,0,520000,520000,0,0,0
ORCH,S14,500,500,0,0,0,520000,520000,0,0,0
ORCH,S15,500,500,0,0,0,520000,520000,0,0,0
ORCH,S16,500,500,0,0,0,520000,520000,0,0,0
ORCH,S17,500,500,0,0,0,520000,520000,0,0,0
ORCH,S2,500,500,0,0,0,520000,520000,0,0,0
ORCH,S3,500,500,0,0,0,520000,520000,0,0,0
ORCH,S4,500,500,0,0,0,520000,520000,0,0,0
ORCH,S5,500,500,0,0,0,520000,520000,0,0,0
ORCH,S6,500,500,0,0,0,520000,520000,0,0,0
ORCH,S7,500,500,0,0,0,520000,520000,0,0,0
ORCH,S8,500,500,0,0,0,520000,520000,0,0,0
ORCH,S9,500,500,0,0,0,520000,520000,0,0,0
S10,ORCH,991,500,0,0,0,1030640,520000,0,0,0
S11,ORCH,993,500,0,0,0,1032720,520000,0,0,0
S13,ORCH,993,500,0,0,0,1032720,520000,0,0,0
S14,ORCH,992,500,0,0,0,1031680,520000,0,0,0
S15,ORCH,996,500,0,0,0,1035840,520000,0,0,0
S16,ORCH,996,500,0,0,0,1035840,520000,0,0,0
S17,ORCH,991,500,0,0,0,1030640,520000,0,0,0
S2,ORCH,989,500,0,0,0,1028560,520000,0,0,0
S3,ORCH,994,500,0,0,0,1033760,520000,0,0,0
S4,ORCH,994,500,0,0,0,1033760,520000,0,0,0
S5,ORCH,995,500,0,0,0,1034800,520000,0,0,0
S6,ORCH,994,500,0,0,0,1033760,520000,0,0,0
S7,ORCH,990,500,0,0,0,1029600,520000,0,0,0
S8,ORCH,989,500,0,0,0,1028560,520000,0,0,0
S9,ORCH,990,500,0,0,0,1029600,520000,0,0,0
