src,dst,accepted_count,dropped_in_agg_count
S10,S11,2,0
S10,S14,9,0
S10,S15,3,0
S10,S3,11,0
S10,S4,12,0
S10,S5,23,0
S10,S7,14,0
S10,S8,11,0
S10,S9,10,0
S11,S10,6,0
S11,S13,8,0
S11,S14,3,0
S11,S15,2,0
S11,S16,2,0
S11,S2,3,0
S11,S4,4,0
S11,S6,2,0
S11,S7,3,0
S11,S9,11,0
S13,S15,15,0
S13,S16,8,0
S13,S17,9,0
S13,S2,12,0
S13,S4,10,0
S13,S7,2,0
S13,S9,13,0
S15,S11,10,0
S15,S13,5,0
S15,S14,19,0
S15,S5,12,0
S15,S7,9,0
S15,S8,1,0
S15,S9,7,0
S16,S4,3,0
S16,S6,2,0
S16,S8,1,0
S16,S9,5,0
S17,S13,17,0
S17,S14,8,0
S17,S3,17,0
S17,S5,5,0
S17,S6,2,0
S17,S8,22,0
S17,S9,26,0
S2,S11,3,0
S2,S13,2,0
S2,S17,8,0
S2,S5,6,0
S2,S6,6,0
S2,S8,12,0
S3,S10,4,0
S3,S14,5,0
S3,S15,11,0
S3,S17,3,0
S3,S4,3,0
S3,S5,7,0
S3,S8,1,0
S3,S9,14,0
S4,S11,12,0
S4,S16,8,0
S4,S5,6,0
S4,S6,2,0
S4,S7,5,0
S4,S8,10,0
S4,S9,8,0
S5,S15,1,0
S5,S16,35,0
S5,S3,10,0
S5,S4,1,0
S5,S8,3,0
S5,S9,20,0
S7,S10,12,0
S7,S13,9,0
S7,S14,16,0
S7,S15,17,0
S7,S3,14,0
S7,S4,14,0
S7,S6,13,0
S8,S10,4,0
S8,S11,1,0
S8,S14,3,0
S8,S15,13,0
S8,S16,20,0
S8,S17,31,0
S8,S3,14,0
S8,S5,11,0
S8,S6,10,0
S9,S13,8,0
S9,S14,9,0
S9,S15,1,0
S9,S16,7,0
S9,S17,19,0
S9,S3,9,0
S9,S5,2,0
S9,S8,4,0
