src,dst,sent_count,received_count,buffered_count,drop_cos_count,buffered_lowcos_count,sent_bytes,received_bytes,buffered_bytes,dropped_bytes,buffered_lowcos_bytes
S10,S11,3,3,2,1,0,5387,5387,3594,1793,0
S10,S13,48,48,4,44,0,86226,86226,7202,79024,0
S10,S14,37,37,22,15,0,66610,66610,39605,27005,0
S10,S15,5,5,4,1,0,9010,9010,7211,1799,0
S10,S17,4,4,0,4,0,7168,7168,0,7168,0
S10,S3,14,14,13,1,0,25191,25191,23395,1796,0
S10,S4,23,23,5,18,0,41388,41388,9012,32376,0
S10,S5,35,35,17,18,0,62939,62939,30583,32356,0
S10,S6,1,1,0,1,0,1791,1791,0,1791,0
S10,S7,38,38,38,0,0,68330,68330,68330,0,0
S10,S8,18,18,18,0,0,32371,32371,32371,0,0
S10,S9,18,18,16,2,0,32421,32421,28827,3594,0
S11,S10,16,16,14,2,0,28749,28749,25163,3586,0
S11,S13,15,15,13,2,0,26993,26993,23394,3599,0
S11,S14,40,40,40,0,0,72002,72002,72002,0,0
S11,S15,22,22,6,16,0,39567,39567,10787,28780,0
S11,S16,15,15,15,0,0,26964,26964,26964,0,0
S11,S17,1,1,0,1,0,1789,1789,0,1789,0
S11,S2,20,20,2,18,0,35950,35950,3581,32369,0
S11,S3,6,6,6,0,0,10793,10793,10793,0,0
S11,S4,36,36,36,0,0,64720,64720,64720,0,0
S11,S6,5,5,1,4,0,8993,8993,1791,7202,0
S11,S7,16,16,0,16,0,28728,28728,0,28728,0
S11,S8,16,16,6,10,0,28752,28752,10784,17968,0
S11,S9,20,20,18,2,0,35937,35937,32344,3593,0
S13,S10,75,75,17,58,0,134951,134951,30583,104368,0
S13,S14,3,3,1,2,0,5380,5380,1796,3584,0
S13,S15,13,13,1,12,0,23368,23368,1786,21582,0
S13,S16,28,28,15,13,0,50389,50389,26998,23391,0
S13,S17,4,4,3,1,0,7200,7200,5405,1795,0
S13,S2,21,21,4,17,0,37833,37833,7201,30632,0
S13,S4,11,11,9,2,0,19781,19781,16182,3599,0
S13,S5,1,1,0,1,0,1789,1789,0,1789,0
S13,S6,1,1,0,1,0,1793,1793,0,1793,0
S13,S7,18,18,17,1,0,32402,32402,30609,1793,0
S13,S9,15,15,15,0,0,26980,26980,26980,0,0
S14,S10,3,3,3,0,0,5409,5409,5409,0,0
S14,S11,36,36,33,3,0,64704,64704,59326,5378,0
S14,S13,16,16,0,16,0,28782,28782,0,28782,0
S14,S15,19,19,18,1,0,34189,34189,32399,1790,0
S14,S16,13,13,13,0,0,23416,23416,23416,0,0
S14,S17,10,10,9,1,0,17964,17964,16172,1792,0
S14,S2,1,1,0,1,0,1790,1790,0,1790,0
S14,S3,6,6,5,1,0,10817,10817,9027,1790,0
S14,S4,19,19,19,0,0,34210,34210,34210,0,0
S14,S5,17,17,12,5,0,30573,30573,21587,8986,0
S14,S6,17,17,16,1,0,30499,30499,28707,1792,0
S14,S7,28,28,10,18,0,50414,50414,18009,32405,0
S14,S8,29,29,29,0,0,52110,52110,52110,0,0
S15,S10,16,16,14,2,0,28783,28783,25191,3592,0
S15,S11,16,16,14,2,0,28798,28798,25204,3594,0
S15,S13,16,16,0,16,0,28768,28768,0,28768,0
S15,S14,29,29,27,2,0,52163,52163,48565,3598,0
S15,S16,20,20,19,1,0,35900,35900,34110,1790,0
S15,S17,2,2,1,1,0,3586,3586,1790,1796,0
S15,S2,3,3,2,1,0,5408,5408,3614,1794,0
S15,S5,83,83,83,0,0,149417,149417,149417,0,0
S15,S6,3,3,3,0,0,5413,5413,5413,0,0
S15,S7,19,19,19,0,0,34200,34200,34200,0,0
S15,S8,3,3,3,0,0,5396,5396,5396,0,0
S15,S9,14,14,0,14,0,25219,25219,0,25219,0
S16,S10,1,1,0,1,0,1792,1792,0,1792,0
S16,S11,1,1,0,1,0,1786,1786,0,1786,0
S16,S13,2,2,0,2,0,3601,3601,0,3601,0
S16,S14,32,32,29,3,0,57508,57508,52118,5390,0
S16,S15,21,21,20,1,0,37742,37742,35956,1786,0
S16,S17,15,15,14,1,0,26990,26990,25201,1789,0
S16,S3,1,1,0,1,0,1790,1790,0,1790,0
S16,S4,30,30,30,0,0,53928,53928,53928,0,0
S16,S5,25,25,23,2,0,44987,44987,41406,3581,0
S16,S6,54,54,43,11,0,97175,97175,77396,19779,0
S16,S7,41,41,40,1,0,73783,73783,71992,1791,0
S16,S8,13,13,13,0,0,23347,23347,23347,0,0
S16,S9,1,1,1,0,0,1788,1788,1788,0,0
S17,S10,16,16,0,16,0,28771,28771,0,28771,0
S17,S11,2,2,0,2,0,3595,3595,0,3595,0
S17,S13,15,15,11,4,0,26984,26984,19798,7186,0
S17,S14,24,24,24,0,0,43247,43247,43247,0,0
S17,S15,1,1,1,0,0,1791,1791,1791,0,0
