src,dst,sent_count,received_count,buffered_count,drop_cos_count,buffered_lowcos_count,sent_bytes,received_bytes,buffered_bytes,dropped_bytes,buffered_lowcos_bytes
ORCH,S10,1000,1000,0,0,0,1040000,1040000,0,0,0
ORCH,S11,1000,1000,0,0,0,1040000,1040000,0,0,0
ORCH,S13,1000,1000,0,0,0,1040000,1040000,0,0,0
ORCH,S14,1000,1000,0,0,0,1040000,1040000,0,0,0
ORCH,S15,1000,1000,0,0,0,1040000,1040000,0,0,0
ORCH,S16,1000,1000,0,0,0,1040000,1040000,0,0,0
ORCH,S17,1000,1000,0,0,0,1040000,1040000,0,0,0
ORCH,S2,1000,1000,0,0,0,1040000,1040000,0,0,0
ORCH,S3,1000,1000,0,0,0,1040000,1040000,0,0,0
ORCH,S4,1000,1000,0,0,0,1040000,1040000,0,0,0
ORCH,S5,1000,1000,0,0,0,1040000,1040000,0,0,0
ORCH,S6,1000,1000,0,0,0,1040000,1040000,0,0,0
ORCH,S7,1000,1000,0,0,0,1040000,1040000,0,0,0
ORCH,S8,1000,1000,0,0,0,1040000,1040000,0,0,0
ORCH,S9,1000,1000,0,0,0,1040000,1040000,0,0,0
S10,ORCH,1982,1000,0,0,0,2061280,1040000,0,0,0
S11,ORCH,1989,1000,0,0,0,2068560,1040000,0,0,0
S13,ORCH,1984,1000,0,0,0,2063360,1040000,0,0,0
S14,ORCH,1992,1000,0,0,0,2071680,1040000,0,0,0
S15,ORCH,1987,1000,0,0,0,2066480,1040000,0,0,0
S16,ORCH,1992,1000,0,0,0,2071680,1040000,0,0,0
S17,ORCH,1994,1000,0,0,0,2073760,1040000,0,0,0
S2,ORCH,1985,1000,0,0,0,2064400,1040000,0,0,0
S3,ORCH,1986,1000,0,0,0,2065440,1040000,0,0,0
S4,ORCH,1989,1000,0,0,0,2068560,1040000,0,0,0
S5,ORCH,1988,1000,0,0,0,2067520,1040000,0,0,0
S6,ORCH,1982,1000,0,0,0,2061280,1040000,0,0,0
S7,ORCH,1983,1000,0,0,0,2062320,1040000,0,0,0
S8,ORCH,1985,1000,0,0,0,2064400,1040000,0,0,0
S9,ORCH,1993,1000,0,0,0,2072720,1040000,0,0,0
