src,dst,accepted_count,dropped_in_agg_count
S10,S11,4,0
S10,S13,80,0
S10,S14,16,0
S10,S17,1,0
S10,S2,1,0
S10,S3,9,0
S10,S4,12,0
S10,S5,1,0
S10,S7,27,0
S10,S8,25,0
S10,S9,14,0
S11,S10,15,0
S11,S14,48,0
S11,S15,16,0
S11,S16,17,0
S11,S17,1,0
S11,S2,63,0
S11,S3,1,0
S11,S4,26,0
S11,S5,1,0
S11,S6,6,0
S11,S8,8,0
S11,S9,10,0
S13,S10,91,0
S13,S11,1,0
S13,S14,3,0
S13,S15,14,0
S13,S16,32,0
S13,S17,2,0
S13,S2,21,0
S13,S3,1,0
S13,S4,14,0
S13,S8,2,0
S13,S9,21,0
S14,S10,6,0
S14,S11,44,0
S14,S13,16,0
S14,S15,6,0
S14,S16,29,0
S14,S17,12,0
S14,S3,3,0
S14,S4,15,0
S14,S5,4,0
S14,S6,22,0
S14,S7,3,0
S14,S8,24,0
S14,S9,3,0
S15,S11,1,0
S15,S13,20,0
S15,S14,8,0
S15,S16,20,0
S15,S2,19,0
S15,S5,32,0
S15,S7,12,0
S15,S8,3,0
S16,S10,1,0
S16,S14,35,0
S16,S15,14,0
S16,S17,13,0
S16,S4,22,0
S16,S5,16,0
S16,S6,9,0
S16,S7,14,0
S16,S8,19,0
S16,S9,1,0
S17,S13,8,0
S17,S14,27,0
S17,S2,2,0
S17,S3,28,0
S17,S5,7,0
S17,S6,28,0
S17,S7,1,0
S17,S8,52,0
S17,S9,23,0
S2,S11,48,0
S2,S13,6,0
S2,S15,36,0
S2,S17,16,0
S2,S3,1,0
S2,S4,27,0
S2,S5,24,0
S2,S6,13,0
S2,S8,31,0
S3,S11,13,0
S3,S14,8,0
S3,S15,10,0
S3,S16,1,0
S3,S17,17,0
S3,S2,14,0
S3,S4,16,0
S3,S5,7,0
S3,S6,18,0
S3,S7,27,0
S3,S8,27,0
S3,S9,29,0
S4,S10,20,0
S4,S11,44,0
S4,S13,1,0
S4,S14,24,0
S4,S16,5,0
S4,S2,45,0
S4,S3,4,0
S4,S5,8,0
S4,S6,2,0
S4,S7,22,0
S4,S8,30,0
S4,S9,6,0
S5,S11,15,0
S5,S14,1,0
S5,S15,31,0
S5,S16,36,0
S5,S17,4,0
S5,S2,2,0
S5,S3,16,0
S5,S6,2,0
S5,S9,69,0
S6,S10,1,0
S6,S11,33,0
S6,S14,13,0
S6,S16,3,0
S6,S17,48,0
S6,S2,4,0
S6,S3,5,0
S6,S4,8,0
S6,S5,1,0
S6,S7,16,0
S6,S8,75,0
S7,S10,19,0
S7,S11,1,0
S7,S13,3,0
S7,S14,23,0
S7,S15,1,0
S7,S16,3,0
S7,S2,1,0
S7,S3,32,0
S7,S4,41,0
S7,S6,3,0
S7,S8,15,0
S7,S9,1,0
S8,S10,1,0
S8,S11,3,0
S8,S14,1,0
S8,S15,14,0
S8,S16,24,0
S8,S17,70,0
S8,S2,3,0
S8,S3,51,0
S8,S6,76,0
S8,S7,14,0
S8,S9,16,0
S9,S10,1,0
S9,S11,1,0
S9,S13,19,0
S9,S14,12,0
S9,S16,16,0
S9,S17,28,0
S9,S3,35,0
S9,S5,39,0
S9,S6,1,0
S9,S7,12,0
S9,S8,16,0
