block,label,method,round,n,f1_mean,f1_std,f1_var,f1_sem,ci_low,ci_high,bytes_cum_mean,ref_bytes,comm_norm
heterogeneous,fast25,ASILO,0,10,0.16744288194050092,0.020876755731303598,0.0004358389298645176,0.006601809826589354,0.15450333468038577,0.18038242920061606,0.0,15600.0,0.0
heterogeneous,fast25,ASILO,1,10,0.17341234672489622,0.03328655359224326,0.0011079946500492826,0.010526132480874837,0.15278112706238153,0.1940435663874109,20227.7,46800.0,0.432215811965812
heterogeneous,fast25,ASILO,2,10,0.15225534306519292,0.013220703385147293,0.0001747869979980451,0.0041807534966563755,0.1440610662117464,0.16044961991863943,49240.9,93600.0,0.5260779914529915
heterogeneous,fast25,ASILO,3,10,0.1787742599167343,0.013722583649807026,0.00018830930202595113,0.004339461971557662,0.17026891445248127,0.1872796053809873,97110.2,156000.0,0.6225012820512821
heterogeneous,fast25,ASILO,4,10,0.2380605048590822,0.019965461358244764,0.00039861964724756486,0.006313633242813244,0.22568578370316825,0.2504352260149962,155935.3,234000.0,0.666390170940171
heterogeneous,fast25,ASILO,5,10,0.3162540595087807,0.02525165518836541,0.0006376460897521018,0.007985274508444289,0.3006029214722299,0.33190519754533154,233802.6,327600.0,0.7136831501831502
heterogeneous,fast25,ASILO,6,10,0.4112254284431887,0.027966246395610336,0.0007821109374599881,0.008843703621560303,0.39389176934493053,0.4285590875414469,325858.5,436800.0,0.7460130494505495
heterogeneous,fast25,ASILO,7,10,0.4797579527525454,0.024437940082696848,0.0005972129154854812,0.0077279551984045635,0.46461116056367247,0.49490474494141834,434812.0,561600.0,0.7742378917378917
heterogeneous,fast25,ASILO,8,10,0.5214532592047636,0.022467415552863856,0.0005047847616250687,0.0071048206284540965,0.5075278107729936,0.5353787076365336,558864.1,702000.0,0.7961027065527065
heterogeneous,fast25,ASILO,9,10,0.5668911413285495,0.030580158395369872,0.0009351460874859104,0.009670295173808865,0.5479373627878841,0.5858449198692148,697837.5,858000.0,0.8133304195804196
heterogeneous,fast25,ASILO,10,10,0.6315843556337827,0.02589917616670627,0.0006707673261140861,0.008190038620874055,0.6155318799368695,0.6476368313306958,852995.9,1029600.0,0.8284730963480964
heterogeneous,fast25,ASILO,11,10,0.6446366039082239,0.01812798464355267,0.00032862382723688137,0.0057325720862182045,0.6334007626192362,0.6558724451972116,1022904.2,1216800.0,0.8406510519395134
heterogeneous,fast25,ASILO,12,10,0.6689731167501948,0.029709702257690228,0.0008826664082406038,0.009395032773974786,0.6505588525132042,0.6873873809871853,1210078.8,1419600.0,0.8524082840236686
heterogeneous,fast25,ASILO,13,10,0.6827797848674677,0.020264855649530532,0.0004106643744963095,0.006408310030704737,0.6702194972072865,0.695340072527649,1409485.5,1638000.0,0.8604917582417583
heterogeneous,fast25,ASILO,14,10,0.7182225262252306,0.023607265710360044,0.0005573029943195411,0.007465272897353057,0.7035905913464187,0.7328544611040426,1624004.0,1872000.0,0.8675235042735042
heterogeneous,fast25,ASILO,15,10,0.7385494623509519,0.021515974630345564,0.00046293716429367395,0.006803948591029138,0.7252137231125347,0.751885201589369,1852201.1,2121600.0,0.8730208804675716
heterogeneous,fast25,ASILO,16,10,0.7663706711776523,0.03301918079600698,0.001090266300439396,0.010441581778827362,0.7459051708911507,0.786836171464154,2094620.0,2386800.0,0.8775850511144628
heterogeneous,fast25,ASILO,17,10,0.7930091440552703,0.02511821718176594,0.0006309248343903618,0.007943077705715599,0.7774407117520677,0.8085775763584729,2351253.9,2667600.0,0.8814117183985605
heterogeneous,fast25,ASILO,18,10,0.7980054792446942,0.027093396110791708,0.0007340521128162633,0.008567684125924947,0.7812128183578814,0.8147981401315071,2620843.3,2964000.0,0.8842251349527664
heterogeneous,fast25,ASILO,19,10,0.8097079458444648,0.030226536063138926,0.000913643482376238,0.00955846997367381,0.7909733446960642,0.8284425469928655,2903390.2,3276000.0,0.8862607448107449
heterogeneous,fast25,ASILO,20,10,0.8267586870027813,0.030619898259521768,0.0009375781694234642,0.009682862022271432,0.8077802774391293,0.8457370965664334,3200692.6,3603600.0,0.8881930846930847
heterogeneous,fast25,ASILO,21,10,0.8281967917952683,0.015361373889181199,0.0002359718077632179,0.004857692947925155,0.8186757136173349,0.8377178699732016,3510229.4,3946800.0,0.8893861862774906
heterogeneous,fast25,ASILO,22,10,0.8234576133209546,0.03050461164337368,0.0009305313315130492,0.009646405193195283,0.8045506591422918,0.8423645674996173,3832719.8,4305600.0,0.8901708937198067
heterogeneous,fast25,ASILO,23,10,0.8404531040394637,0.013950505936835996,0.00019461661589369636,0.0044115373272102815,0.8318064908781315,0.8490997172007959,4168528.7,4680000.0,0.8907112606837607
heterogeneous,fast25,ASILO,24,10,0.8341183530998441,0.02118325069292445,0.00044873010991928423,0.006698732043598133,0.8209888382943917,0.8472478679052964,4517476.9,5070000.0,0.8910210848126233
heterogeneous,fast25,ASILO,25,10,0.8362702739959038,0.01358587560989835,0.00018457601608763086,0.0042962310935008,0.8278496610526422,0.8446908869391654,4878482.4,5475600.0,0.8909493754109139
heterogeneous,fast25,ASILO,26,10,0.8386534792971357,0.01983220908292677,0.00039331651710892306,0.0062714951734727745,0.8263613487571291,0.8509456098371424,5252274.2,5896800.0,0.8906990571157238
heterogeneous,fast25,ASILO,27,10,0.8405132282039502,0.019380660511383756,0.00037561000185750966,0.006128702977445633,0.8285009703681568,0.8525254860397437,5639379.8,6333600.0,0.8903908993305545
heterogeneous,fast25,ASILO,28,10,0.8502129730070307,0.017651906376476373,0.00031158979872388724,0.0055820229193715,0.8392722080850625,0.8611537379289989,6037826.1,6786000.0,0.8897474358974359
heterogeneous,fast25,ASILO,29,10,0.8542509980110525,0.01280966784342554,0.0001640875902588903,0.004050772645544184,0.8463114836257859,0.8621905123963192,6449228.9,7254000.0,0.8890582988695892
heterogeneous,fast25,ASILO,30,10,0.8511788446817088,0.018555241527072167,0.0003442969881279835,0.0058676825760088916,0.8396781868327313,0.8626795025306863,6873227.5,7737600.0,0.8882893274400331
heterogeneous,fast25,ASILO,31,10,0.8592289979156247,0.023854394335571426,0.0005690321291169421,0.007543421830422465,0.8444438911279967,0.8740141047032527,7310545.9,8236800.0,0.8875468507187257
heterogeneous,fast25,ASILO,32,10,0.8507959491896807,0.01943925261606596,0.00037788454227122726,0.006147231427815511,0.8387473755911623,0.8628445227881991,7759928.8,8751600.0,0.8866868686868686
heterogeneous,fast25,ASILO,33,10,0.8678313067614376,0.020507159101035212,0.00042054357439517135,0.006484933109872231,0.8551208378660881,0.8805417756567872,8222268.2,9282000.0,0.8858293686705452
heterogeneous,fast25,ASILO,34,10,0.8430779251100493,0.026609945257540554,0.000708089186609305,0.0084148035426224,0.8265849101665094,0.8595709400535892,8696850.6,9828000.0,0.8849054334554334
heterogeneous,fast25,ASILO,35,10,0.8524919940068783,0.01957632667337238,0.00038323256602259095,0.006190578050736384,0.8403584610274349,0.8646255269863216,9186010.5,10389600.0,0.8841543947793947
heterogeneous,fast25,ASILO,36,10,0.8723313721755213,0.017070145022751924,0.0002913898510977823,0.0053980538261282855,0.8617511866763098,0.8829115576747327,9688849.4,10966800.0,0.8834709669183354
heterogeneous,fast25,ASILO,37,10,0.8514864336225682,0.02676825830485365,0.0007165396526753663,0.008464866523905538,0.8348952952357133,0.868077572009423,10205366.3,11559600.0,0.8828477023426416
heterogeneous,fast25,ASILO,38,10,0.8603310797650039,0.019438148179222722,0.00037784160463741963,0.006146882174219867,0.848283190703533,0.8723789688264748,10736282.6,12168000.0,0.8823374917817225
heterogeneous,fast25,ASILO,39,10,0.8705296439655887,0.019005562956390356,0.00036121142328931734,0.006010086715591691,0.858749874003029,0.8823094139281484,11281596.4,12792000.0,0.8819259224515322
heterogeneous,fast25,ASILO,40,10,0.8565802093625274,0.013019416876714148,0.00016950521580966918,0.004117101113765232,0.8485106911795476,0.8646497275455073,11838787.7,13431600.0,0.8814130632240388
heterogeneous,fast25,ASILO,41,10,0.8659295892844254,0.01623721578281568,0.00026364717637771863,0.005134658473333145,0.8558656586766925,0.8759935198921583,12410557.7,14086800.0,0.8810061688957037
heterogeneous,fast25,ASILO,42,10,0.8571432200310036,0.01121029561118823,0.0001256707276902261,0.0035450067375144166,0.8501950068254753,0.8640914332365319,12995460.6,14757600.0,0.880594446251423
heterogeneous,fast25,ASILO,43,10,0.8728716452308414,0.025016163843581983,0.0006258084534489385,0.007910805606567125,0.8573664662419698,0.888376824219713,13594940.3,15444000.0,0.8802732646982647
heterogeneous,fast25,ASILO,44,10,0.8654046898430782,0.01929504382241447,0.00037229871610889486,0.006101628603159117,0.8534454977808863,0.87736388190527,14205036.3,16146000.0,0.8797867149758455
heterogeneous,fast25,ASILO,45,10,0.8638978076937847,0.010408017609783408,0.00010832683056556152,0.003291304157405716,0.8574468515452695,0.8703487638422999,14827190.5,16863600.0,0.8792423029483621
heterogeneous,fast25,ASILO,46,10,0.8593901823009048,0.017018555372712494,0.0002896312269740813,0.005381739746346727,0.8488419723980652,0.8699383922037444,15462117.5,17596800.0,0.8786891650754682
heterogeneous,fast25,ASILO,47,10,0.8632312085097047,0.016557846321906225,0.0002741622748198635,0.005236050752426522,0.8529685490349487,0.8734938679844607,16107301.5,18345600.0,0.8779926249345892
heterogeneous,fast25,ASILO,48,10,0.8757205010170169,0.01858956267840151,0.0003455718405742183,0.005878535877020895,0.864198570698056,0.8872424313359779,16765625.7,19110000.0,0.8773221193092622
heterogeneous,fast25,ASILO,49,10,0.8738540321346016,0.017575510690151314,0.0003088985760196231,0.005557864482151603,0.8629606177495844,0.8847474465196187,17435102.8,19890000.0,0.8765763097033685
heterogeneous,fast25,ASILO,50,10,0.8642731504111072,0.01829115396400224,0.00033456631333483487,0.005784170755906458,0.8529361757295305,0.8756101250926839,18114841.0,20685600.0,0.8757222899021542
heterogeneous,fast25,ASILO,51,10,0.8638791574875814,0.017923868146080348,0.00032126504931807376,0.0056680247822153505,0.8527698289144393,0.8749884860607234,18804656.7,21496800.0,0.8747653929887239
heterogeneous,fast25,ASILO,52,10,0.8694899055300718,0.02144810439405337,0.0004600211820982114,0.006782486137827422,0.8561962326999301,0.8827835783602135,19505624.6,22323600.0,0.8737669820279884
heterogeneous,fast25,ASILO,53,10,0.8638138181434604,0.018398636212380703,0.00033850981447552654,0.005818159627197646,0.852410225274153,0.8752174110127677,20218289.1,23166000.0,0.872757018907019
heterogeneous,fast25,ASILO,54,10,0.8760277342842319,0.01702591433990524,0.00028988175910979084,0.005384066856102279,0.8654749632462714,0.8865805053221923,20943009.6,24024000.0,0.8717536463536464
heterogeneous,fast25,ASILO,55,10,0.8763154802885529,0.018400909378803527,0.0003385934659669396,0.00581887846553732,0.8649104784960997,0.8877204820810061,21678706.2,24897600.0,0.8707146953923269
heterogeneous,fast25,ASILO,56,10,0.8709273966814832,0.016368384378838047,0.00026792400717338944,0.005176137625424863,0.8607821669356505,0.881072626427316,22426097.2,25786800.0,0.869673522887679
heterogeneous,fast25,ASILO,57,10,0.8792789499103663,0.017394088965550402,0.00030255433094148224,0.0055004938954741345,0.868497981875237,0.8900599179454955,23185366.3,26691600.0,0.8686390587300874
heterogeneous,fast25,ASILO,58,10,0.8736105208704895,0.012862177543013867,0.00016543561114801025,0.004067377670539217,0.8656384606362326,0.8815825811047464,23955434.3,27612000.0,0.8675733123279734
