block,label,method,round,n,f1_mean,f1_std,f1_var,ci_low,ci_high,bytes_cum_mean
heterogeneous,fast25,ASILO,0,10,0.31046848786079584,0.022792492264310262,0.0005194977036186431,0.296341554795826,0.32459542092576565,0.0
heterogeneous,fast25,ASILO,1,10,0.32709217981293226,0.022813802465331608,0.0005204695829271706,0.3129520385485282,0.3412323210773363,7736.7
heterogeneous,fast25,ASILO,2,10,0.3451218712474749,0.021539987659499524,0.0004639710683713918,0.33177124857939105,0.35847249391555874,20868.9
heterogeneous,fast25,ASILO,3,10,0.3593457534884908,0.025576253070277107,0.0006541447211148592,0.34349342760036056,0.37519807937662103,38316.9
heterogeneous,fast25,ASILO,4,10,0.3621632803710002,0.01964882782345262,0.0003860764348356858,0.3499848107131788,0.37434175002882164,61160.8
heterogeneous,fast25,ASILO,5,10,0.3616119447063245,0.020743687994118264,0.0004303005915973262,0.3487548736841971,0.3744690157284519,88321.1
heterogeneous,fast25,ASILO,6,10,0.36485102507646855,0.022939657820909856,0.0005262279009404308,0.3506328778545104,0.3790691722984267,120514.2
heterogeneous,fast25,ASILO,7,10,0.3758776741634577,0.029342006689013968,0.0008609533565381404,0.3576913100010504,0.39406403832586495,157201.0
heterogeneous,fast25,ASILO,8,10,0.3740806118800596,0.032279806889011664,0.0010419859327918848,0.3540733802889241,0.3940878434711951,198020.4
heterogeneous,fast25,ASILO,9,10,0.372873300148078,0.029748186106197387,0.0008849545766089552,0.3544351833746628,0.39131141692149324,242794.1
heterogeneous,fast25,ASILO,10,10,0.377166695597893,0.0269760703899845,0.0007277083736853986,0.360446753946231,0.393886637249555,292599.3
heterogeneous,fast25,ASILO,11,10,0.37500234971740154,0.027154502697339794,0.0007373670167398342,0.35817181457585673,0.39183288485894635,346179.7
heterogeneous,fast25,ASILO,12,10,0.37497801628446614,0.031679306003369684,0.0010035784288551345,0.35534297899830375,0.39461305357062854,403714.1
heterogeneous,fast25,ASILO,13,10,0.37136209869204284,0.02440122817653277,0.0005954199365232169,0.35623806077835196,0.3864861366057337,466098.9
heterogeneous,fast25,ASILO,14,10,0.37685903298104223,0.029643388888877787,0.000878730504817243,0.3584858701958658,0.39523219576621865,532799.3
heterogeneous,fast25,ASILO,15,10,0.38222575324540475,0.028169526119358815,0.0007935222017892385,0.36476610006902827,0.39968540642178124,603631.2
heterogeneous,fast25,ASILO,16,10,0.37395672407290415,0.023339330984786518,0.0005447243708174161,0.3594908568575168,0.3884225912882915,678597.0
heterogeneous,fast25,ASILO,17,10,0.3734529219502473,0.026303364687939777,0.0006918669939067572,0.3571499276124203,0.3897559162880743,757693.3
heterogeneous,fast25,ASILO,18,10,0.37598009849224123,0.026438232725975196,0.0006989801496728259,0.3595935120783992,0.3923666849060833,840202.5
heterogeneous,fast25,ASILO,19,10,0.3751722863708561,0.031393813684149674,0.0009855715376351033,0.3557141990574046,0.3946303736843076,926844.0
heterogeneous,fast25,ASILO,20,10,0.37919365711575753,0.0298807885148571,0.000892861522269616,0.36067335251796284,0.3977139617135522,1017619.5
heterogeneous,fast25,ASILO,21,10,0.38045113270698705,0.028502692191001336,0.0008124034621349685,0.3627849810600162,0.3981172843539579,1112709.4
heterogeneous,fast25,ASILO,22,10,0.3770872767416722,0.027408259666948633,0.0007512126979708831,0.3600994614008906,0.3940750920824538,1211573.2
heterogeneous,fast25,ASILO,23,10,0.3783061601261562,0.027824591886604976,0.0007742079136561235,0.3610602994021988,0.3955520208501136,1314031.3
heterogeneous,fast25,ASILO,24,10,0.3778705459747064,0.027266706964433864,0.0007434733086843062,0.360970465907909,0.39477062604150376,1419365.8
heterogeneous,fast25,ASILO,25,10,0.3788746968479276,0.03366278127004459,0.0011331828428348646,0.35801028885480585,0.3997391048410493,1528113.9
heterogeneous,fast25,ASILO,26,10,0.3792234796054178,0.03003031237118736,0.0009018196611110885,0.36061049916131815,0.39783646004951745,1640278.6
heterogeneous,fast25,ASILO,27,10,0.37808925372032415,0.03415385189377854,0.0011664855991821601,0.3569204770012547,0.3992580304393936,1755675.5
heterogeneous,fast25,ASILO,28,10,0.3785415194759899,0.029124566815162282,0.0008482403921708521,0.3604899259436628,0.396593113008317,1874663.7
heterogeneous,fast25,ASILO,29,10,0.3807964932480684,0.029209254476821617,0.0008531805470917237,0.36269240975923206,0.39890057673690477,1997603.2
heterogeneous,fast25,ASILO,30,10,0.37593473878334394,0.025122911390307395,0.000631160676725237,0.360363396979544,0.39150608058714387,2123779.3
heterogeneous,fast25,ASILO,31,10,0.3783599798400104,0.029715179691787018,0.0008829919041151916,0.35994232065419385,0.39677763902582697,2253730.5
heterogeneous,fast25,ASILO,32,10,0.3760595600692539,0.02675163896526274,0.0007156501873277636,0.3594787224557968,0.392640397682711,2387454.6
heterogeneous,fast25,ASILO,33,10,0.37442281384843656,0.03251299075865608,0.0010570945680724558,0.3542710533975302,0.39457457429934295,2524771.7
heterogeneous,fast25,ASILO,34,10,0.37304521022118386,0.02471439845234597,0.000610801490861321,0.35772706735955456,0.38836335308281317,2665324.0
heterogeneous,fast25,ASILO,35,10,0.3764250049115519,0.027827467685111,0.000774367957765897,0.35917736174921383,0.39367264807388996,2809651.2
heterogeneous,fast25,ASILO,36,10,0.37629341254352205,0.02852180770894593,0.0008134935149860874,0.3586154129757809,0.3939714121112632,2957034.8
