block,label,method,seed,round,f1_run,bytes_round_run,bytes_cum_run,pheromone_mean_run
homogeneous,,FedAvg,4,0,0.2717399426951877,15600.0,15600.0,0.0
homogeneous,,FedAvg,4,1,0.2978122592734145,31200.0,46800.0,0.0
homogeneous,,FedAvg,4,2,0.3279278812917185,46800.0,93600.0,0.0
homogeneous,,FedAvg,4,3,0.33455414669738087,62400.0,156000.0,0.0
homogeneous,,FedAvg,4,4,0.330495364794286,78000.0,234000.0,0.0
homogeneous,,FedAvg,4,5,0.3655491766758751,93600.0,327600.0,0.0
homogeneous,,FedAvg,4,6,0.3580076629965172,109200.0,436800.0,0.0
homogeneous,,FedAvg,4,7,0.35504512925409965,124800.0,561600.0,0.0
homogeneous,,FedAvg,4,8,0.35846832323905825,140400.0,702000.0,0.0
homogeneous,,FedAvg,4,9,0.3499295408864499,156000.0,858000.0,0.0
homogeneous,,FedAvg,4,10,0.3536538625114773,171600.0,1029600.0,0.0
homogeneous,,FedAvg,4,11,0.3534401322442116,187200.0,1216800.0,0.0
homogeneous,,FedAvg,4,12,0.3541831267911945,202800.0,1419600.0,0.0
homogeneous,,FedAvg,4,13,0.3559462705837637,218400.0,1638000.0,0.0
homogeneous,,FedAvg,4,14,0.3540445857210612,234000.0,1872000.0,0.0
homogeneous,,FedAvg,4,15,0.3559073042030861,249600.0,2121600.0,0.0
homogeneous,,FedAvg,4,16,0.3583259615437925,265200.0,2386800.0,0.0
homogeneous,,FedAvg,4,17,0.35962211124707405,280800.0,2667600.0,0.0
homogeneous,,FedAvg,4,18,0.3543245171319257,296400.0,2964000.0,0.0
homogeneous,,FedAvg,4,19,0.3421068000670603,312000.0,3276000.0,0.0
homogeneous,,FedAvg,4,20,0.37458254236684646,327600.0,3603600.0,0.0
homogeneous,,FedAvg,4,21,0.36628931004974835,343200.0,3946800.0,0.0
homogeneous,,FedAvg,4,22,0.3479983851464318,358800.0,4305600.0,0.0
homogeneous,,FedAvg,4,23,0.3664191312939923,374400.0,4680000.0,0.0
homogeneous,,FedAvg,4,24,0.3678150484606913,390000.0,5070000.0,0.0
homogeneous,,FedAvg,4,25,0.3678056829477282,405600.0,5475600.0,0.0
homogeneous,,FedAvg,4,26,0.34373604522575546,421200.0,5896800.0,0.0
homogeneous,,FedAvg,4,27,0.3621719990776691,436800.0,6333600.0,0.0
homogeneous,,FedAvg,4,28,0.3574772951905515,452400.0,6786000.0,0.0
homogeneous,,FedAvg,4,29,0.35912045181114133,468000.0,7254000.0,0.0
homogeneous,,FedAvg,4,30,0.36020227611090755,483600.0,7737600.0,0.0
homogeneous,,FedAvg,4,31,0.36037157651066104,499200.0,8236800.0,0.0
homogeneous,,FedAvg,4,32,0.3799637179014607,514800.0,8751600.0,0.0
homogeneous,,FedAvg,4,33,0.3688479663236092,530400.0,9282000.0,0.0
homogeneous,,FedAvg,4,34,0.3444330616888494,546000.0,9828000.0,0.0
homogeneous,,FedAvg,4,35,0.3265326880768039,561600.0,10389600.0,0.0
homogeneous,,FedAvg,4,36,0.35267485144112126,577200.0,10966800.0,0.0
homogeneous,,FedAvg,4,37,0.3649478715474544,592800.0,11559600.0,0.0
homogeneous,,FedAvg,4,38,0.36460621683169786,608400.0,12168000.0,0.0
homogeneous,,FedAvg,4,39,0.3832482102961341,624000.0,12792000.0,0.0
homogeneous,,FedAvg,4,40,0.38355715019869585,639600.0,13431600.0,0.0
homogeneous,,FedAvg,4,41,0.3835022501839542,655200.0,14086800.0,0.0
homogeneous,,FedAvg,4,42,0.38451967775980295,670800.0,14757600.0,0.0
homogeneous,,FedAvg,4,43,0.38400090039162715,686400.0,15444000.0,0.0
homogeneous,,FedAvg,4,44,0.38601796050376547,702000.0,16146000.0,0.0
homogeneous,,FedAvg,4,45,0.3861395475662154,717600.0,16863600.0,0.0
homogeneous,,FedAvg,4,46,0.3751637900021796,733200.0,17596800.0,0.0
homogeneous,,FedAvg,4,47,0.36393173036558546,748800.0,18345600.0,0.0
homogeneous,,FedAvg,4,48,0.3875459772618628,764400.0,19110000.0,0.0
homogeneous,,FedAvg,4,49,0.3852665590860546,780000.0,19890000.0,0.0
homogeneous,,FedAvg,5,0,0.2920994156996914,15600.0,15600.0,0.0
homogeneous,,FedAvg,5,1,0.2956560272382542,31200.0,46800.0,0.0
homogeneous,,FedAvg,5,2,0.2876302257685202,46800.0,93600.0,0.0
homogeneous,,FedAvg,5,3,0.3244664487143042,62400.0,156000.0,0.0
homogeneous,,FedAvg,5,4,0.32681357170322756,78000.0,234000.0,0.0
homogeneous,,FedAvg,5,5,0.3432363604541389,93600.0,327600.0,0.0
homogeneous,,FedAvg,5,6,0.39138076474486133,109200.0,436800.0,0.0
homogeneous,,FedAvg,5,7,0.38656566089548344,124800.0,561600.0,0.0
homogeneous,,FedAvg,5,8,0.39149997266552744,140400.0,702000.0,0.0
homogeneous,,FedAvg,5,9,0.38705443997156963,156000.0,858000.0,0.0
homogeneous,,FedAvg,5,10,0.3930542568806233,171600.0,1029600.0,0.0
homogeneous,,FedAvg,5,11,0.39379423230072397,187200.0,1216800.0,0.0
homogeneous,,FedAvg,5,12,0.39446088622813646,202800.0,1419600.0,0.0
homogeneous,,FedAvg,5,13,0.40308042771977903,218400.0,1638000.0,0.0
homogeneous,,FedAvg,5,14,0.40455306030496035,234000.0,1872000.0,0.0
homogeneous,,FedAvg,5,15,0.4047331790712589,249600.0,2121600.0,0.0
homogeneous,,FedAvg,5,16,0.40430576423586523,265200.0,2386800.0,0.0
homogeneous,,FedAvg,5,17,0.4065274177306625,280800.0,2667600.0,0.0
homogeneous,,FedAvg,5,18,0.4020192584330101,296400.0,2964000.0,0.0
homogeneous,,FedAvg,5,19,0.40282264570643306,312000.0,3276000.0,0.0
homogeneous,,FedAvg,5,20,0.40184982854226503,327600.0,3603600.0,0.0
homogeneous,,FedAvg,5,21,0.40187838428048345,343200.0,3946800.0,0.0
homogeneous,,FedAvg,5,22,0.40265392001393646,358800.0,4305600.0,0.0
homogeneous,,FedAvg,5,23,0.39135434045174194,374400.0,4680000.0,0.0
homogeneous,,FedAvg,5,24,0.4007733692262875,390000.0,5070000.0,0.0
homogeneous,,FedAvg,5,25,0.39060618257279794,405600.0,5475600.0,0.0
homogeneous,,FedAvg,5,26,0.40168571758491906,421200.0,5896800.0,0.0
homogeneous,,FedAvg,5,27,0.4017866222933524,436800.0,6333600.0,0.0
homogeneous,,FedAvg,5,28,0.40187283254544115,452400.0,6786000.0,0.0
homogeneous,,FedAvg,5,29,0.3908028000227723,468000.0,7254000.0,0.0
homogeneous,,FedAvg,5,30,0.4022867744148447,483600.0,7737600.0,0.0
homogeneous,,FedAvg,5,31,0.40338016979718816,499200.0,8236800.0,0.0
homogeneous,,FedAvg,5,32,0.400311244556936,514800.0,8751600.0,0.0
homogeneous,,FedAvg,5,33,0.39946847789195755,530400.0,9282000.0,0.0
homogeneous,,FedAvg,5,34,0.3883781700490821,546000.0,9828000.0,0.0
homogeneous,,FedAvg,5,35,0.40450686689293325,561600.0,10389600.0,0.0
homogeneous,,FedAvg,5,36,0.4041747463004725,577200.0,10966800.0,0.0
homogeneous,,FedAvg,5,37,0.3921245550680032,592800.0,11559600.0,0.0
homogeneous,,FedAvg,5,38,0.39188150930076543,608400.0,12168000.0,0.0
homogeneous,,FedAvg,5,39,0.39171279095349115,624000.0,12792000.0,0.0
homogeneous,,FedAvg,5,40,0.39169914300714254,639600.0,13431600.0,0.0
homogeneous,,FedAvg,5,41,0.39134071611090426,655200.0,14086800.0,0.0
homogeneous,,FedAvg,5,42,0.3890904405385275,670800.0,14757600.0,0.0
homogeneous,,FedAvg,5,43,0.3887697629636983,686400.0,15444000.0,0.0
homogeneous,,FedAvg,5,44,0.3885796834602141,702000.0,16146000.0,0.0
homogeneous,,FedAvg,5,45,0.38831846831093597,717600.0,16863600.0,0.0
homogeneous,,FedAvg,5,46,0.3881588536154516,733200.0,17596800.0,0.0
homogeneous,,FedAvg,5,47,0.38810869817057353,748800.0,18345600.0,0.0
homogeneous,,FedAvg,5,48,0.3879273100321846,764400.0,19110000.0,0.0
homogeneous,,FedAvg,5,49,0.38750520701411423,780000.0,19890000.0,0.0
homogeneous,,FedAvg,3,0,0.27747839473952424,15600.0,15600.0,0.0
homogeneous,,FedAvg,3,1,0.3026748165301862,31200.0,46800.0,0.0
homogeneous,,FedAvg,3,2,0.29155838065346806,46800.0,93600.0,0.0
homogeneous,,FedAvg,3,3,0.3312182051686764,62400.0,156000.0,0.0
homogeneous,,FedAvg,3,4,0.3405522953501282,78000.0,234000.0,0.0
homogeneous,,FedAvg,3,5,0.3201872729866928,93600.0,327600.0,0.0
homogeneous,,FedAvg,3,6,0.3233684889094065,109200.0,436800.0,0.0
homogeneous,,FedAvg,3,7,0.31571248281496334,124800.0,561600.0,0.0
homogeneous,,FedAvg,3,8,0.3075716265685569,140400.0,702000.0,0.0
homogeneous,,FedAvg,3,9,0.3217545189631424,156000.0,858000.0,0.0
homogeneous,,FedAvg,3,10,0.3081079768329248,171600.0,1029600.0,0.0
homogeneous,,FedAvg,3,11,0.3300464836466014,187200.0,1216800.0,0.0
homogeneous,,FedAvg,3,12,0.35241676257800597,202800.0,1419600.0,0.0
homogeneous,,FedAvg,3,13,0.35348063914140476,218400.0,1638000.0,0.0
homogeneous,,FedAvg,3,14,0.3446950118677595,234000.0,1872000.0,0.0
homogeneous,,FedAvg,3,15,0.3524659527333147,249600.0,2121600.0,0.0
homogeneous,,FedAvg,3,16,0.35350625226988214,265200.0,2386800.0,0.0
homogeneous,,FedAvg,3,17,0.35583365571639247,280800.0,2667600.0,0.0
homogeneous,,FedAvg,3,18,0.3644741084079622,296400.0,2964000.0,0.0
homogeneous,,FedAvg,3,19,0.36480560274959345,312000.0,3276000.0,0.0
homogeneous,,FedAvg,3,20,0.3643948436438202,327600.0,3603600.0,0.0
homogeneous,,FedAvg,3,21,0.3450746315441282,343200.0,3946800.0,0.0
homogeneous,,FedAvg,3,22,0.33414954405362945,358800.0,4305600.0,0.0
homogeneous,,FedAvg,3,23,0.346051612992974,374400.0,4680000.0,0.0
homogeneous,,FedAvg,3,24,0.3399398599589512,390000.0,5070000.0,0.0
homogeneous,,FedAvg,3,25,0.33890123106060843,405600.0,5475600.0,0.0
homogeneous,,FedAvg,3,26,0.3517186710175602,421200.0,5896800.0,0.0
homogeneous,,FedAvg,3,27,0.3538835769259271,436800.0,6333600.0,0.0
homogeneous,,FedAvg,3,28,0.3459759805807273,452400.0,6786000.0,0.0
homogeneous,,FedAvg,3,29,0.34498010777842586,468000.0,7254000.0,0.0
homogeneous,,FedAvg,3,30,0.3544853371814388,483600.0,7737600.0,0.0
homogeneous,,FedAvg,3,31,0.35471151802137546,499200.0,8236800.0,0.0
homogeneous,,FedAvg,3,32,0.3551177902659193,514800.0,8751600.0,0.0
