subject,mean_ASILO,mean_FedAvg,mean_DFedSAM,mean_DeceFL,max_ASILO,max_FedAvg,max_DFedSAM,max_DeceFL
S02,0.7082797619047619,0.6685837912087912,0.6377881944444445,0.6946520146520146,0.7142857142857143,1.0,0.9142857142857144,1.0
S03,0.5390026223776223,0.5288068181818182,0.5266732936181465,0.4740514069264069,0.7984848484848486,0.6476190476190476,0.8095238095238095,0.7428571428571429
S04,0.7164389915639916,0.711008436008436,0.6958585805534335,0.6155952554390054,0.8388888888888889,0.8999999999999999,0.8388888888888889,0.8388888888888889
S05,0.6631515151515153,0.6607765151515153,0.6617109973359975,0.7203148101898103,1.0,0.7689393939393939,0.9272727272727272,1.0
S06,0.7587803462876992,0.7454186524260054,0.7481753714014744,0.7505721639471639,0.7689393939393939,0.9272727272727272,0.7689393939393939,0.7689393939393939
S07,0.7115213952713952,0.7057472943722943,0.7452450154012653,0.7040204656454656,1.0,0.8888888888888888,1.0,0.7272727272727273
S08,0.5317382964257964,0.3978412629037629,0.5242914862914863,0.4177099289599289,0.6318181818181818,0.7,0.7,0.6666666666666666
S09,0.994517316017316,0.9879907053730583,0.9858570057393586,0.9641561667499168,1.0,1.0,1.0,1.0
S10,0.7507684953934954,0.5239373716561216,0.6671268176268176,0.6290110000293824,0.8106060606060606,0.8106060606060606,0.8106060606060606,0.8809523809523809
S11,0.5821592296592296,0.6305804473304473,0.6149105824730825,0.5130956196581197,0.6166666666666667,0.7142857142857143,0.6597222222222222,0.6439393939393939
S13,0.7249756701631702,0.7481809163059164,0.7335708041958042,0.983851957070707,1.0,1.0,1.0,1.0
S14,0.9951797385620915,0.9415859885620914,0.9550309290382819,0.9490193001443,1.0,1.0,1.0,1.0
S15,0.6965487949550448,0.7136736804861805,0.7530550993124523,0.7477098612172141,0.8597222222222223,1.0,0.843939393939394,0.8666666666666667
S16,0.7606883116883116,0.8354477397602398,0.7529404761904762,0.7737348484848485,1.0,1.0,0.9365079365079364,1.0
S17,0.7547748501498502,0.8333489427239428,0.6689820596070595,0.8427975774225774,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667
Average,0.725901689038086,0.7088619041633747,0.7114144475486387,0.7186861584357906,0.860405242905243,0.8816185666185666,0.8717568542568543,0.866856661856662
