subject,mean_ASILO,mean_FedAvg,mean_DFedSAM,mean_DeceFL,max_ASILO,max_FedAvg,max_DFedSAM,max_DeceFL
S02,0.6307380952380952,0.6554954975579976,0.7022142857142858,0.7414466575091575,0.7559523809523809,1.0,1.0,1.0
S03,0.43552164502164503,0.6766690548014077,0.5362308108558108,0.6404995384517442,0.6666666666666666,0.8666666666666666,0.7428571428571429,0.7125
S04,0.6507348623598623,0.716075487012987,0.6862682195255725,0.7158859543234543,0.8388888888888889,0.8388888888888889,0.8388888888888889,0.8388888888888889
S05,0.7285075757575759,0.726241341991342,0.692616341991342,0.6641297452547454,0.8666666666666667,1.0,1.0,1.0
S06,0.7096466952165481,0.7569213996787526,0.7552230443167943,0.5830814410262939,0.8055555555555555,0.9272727272727272,0.8333333333333334,0.7166666666666667
S07,0.7180322177822178,0.6963640803640803,0.7162048090798091,0.6853915841103341,0.7272727272727273,0.8888888888888888,0.8888888888888888,0.8888888888888888
S08,0.5328002067377067,0.5583740495615496,0.5096077047952048,0.4911499125874126,0.7,0.7416666666666667,0.7,0.6318181818181818
S09,0.8903093866917396,0.9874111182934712,0.987440392940393,0.989187675070028,1.0,1.0,1.0,1.0
S10,0.6314817723126547,0.6653036067282391,0.6215914820473645,0.5479474483849485,0.7022727272727273,0.8809523809523809,0.7976190476190476,0.5833333333333334
S11,0.485760101010101,0.5954438131313131,0.5835850468975469,0.6276042568542569,0.6439393939393939,0.6865079365079365,0.6388888888888888,0.6865079365079365
S13,0.8023475864413365,0.9027564935064935,0.9872548701298701,0.9070936632811634,1.0,1.0,1.0,1.0
S14,0.9967361111111112,0.9051492135315665,0.9946085858585859,0.9564079131652661,1.0,1.0,1.0,1.0
S15,0.7900055863254393,0.8519703299151828,0.8080922619047619,0.7795769751082251,0.9142857142857144,1.0,0.9142857142857144,0.9142857142857144
S16,0.7653560606060605,0.7698203046953047,0.7710849567099567,0.8590795038295039,0.9272727272727272,1.0,1.0,1.0
S17,0.8458127705627706,0.8335784632034633,0.8386650016650017,0.8261011072261073,1.0,0.8666666666666667,0.8666666666666667,0.8666666666666667
Average,0.7075860448783243,0.7531716169315433,0.7460458542954866,0.734305558412176,0.8365848965848967,0.9131673881673882,0.8814285714285716,0.8559704184704184
